,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5
0,27,stack_1,1.0,1.0,1.0,1.0,1.0,0.8142857142857143,0.9142857142857143,0.8857142857142857,0.8571428571428571,0.8115942028985508,4.024939060211182,3.053957223892212,3.062267780303955,3.1025514602661133,3.0570337772369385
1,55,stack_1,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.8428571428571429,0.9,0.9,0.9285714285714286,0.8405797101449275,3.6869306564331055,4.001347064971924,4.66600775718689,3.9851245880126953,3.9935519695281982
2,83,stack_1,0.9879518072289156,1.0,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.8857142857142857,0.9285714285714286,0.9142857142857143,0.9428571428571428,0.8985507246376812,4.11023211479187,4.695291519165039,4.530518054962158,4.2454094886779785,4.252812623977661
3,111,stack_1,0.990990990990991,1.0,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9,0.9,0.9142857142857143,0.9714285714285714,0.9130434782608695,4.1143412590026855,5.067065000534058,4.715473413467407,4.7474353313446045,4.692431449890137
4,139,stack_1,0.9928057553956835,1.0,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.8571428571428571,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9420289855072463,4.682992458343506,5.29300594329834,5.495051860809326,5.205484867095947,5.173678398132324
5,167,stack_1,0.9880239520958084,1.0,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.8857142857142857,0.9285714285714286,0.9142857142857143,0.9857142857142858,0.927536231884058,5.132951736450195,5.626068353652954,5.443515062332153,5.66472315788269,5.537793397903442
6,195,stack_1,0.9897435897435898,1.0,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.8714285714285714,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.927536231884058,5.63150429725647,6.119441986083984,6.053264856338501,5.946645498275757,5.952215671539307
7,223,stack_1,0.9910313901345291,0.9955156950672646,0.9955156950672646,0.9955156950672646,0.9955156950672646,0.9285714285714286,0.9428571428571428,0.9428571428571428,1.0,0.9420289855072463,7.847264051437378,6.68880295753479,6.566885471343994,6.401522874832153,6.128293991088867
8,251,stack_1,0.9920318725099602,1.0,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9420289855072463,7.5017993450164795,8.159830093383789,7.99965238571167,7.885730504989624,7.6733012199401855
9,279,stack_1,0.992831541218638,0.992831541218638,1.0,0.996415770609319,0.996415770609319,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9565217391304348,7.572913646697998,8.304898500442505,8.002686738967896,7.9141318798065186,8.143040657043457
