,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5
0,27,svm,1.0,1.0,1.0,1.0,1.0,0.8428571428571429,0.9,0.7285714285714285,0.7714285714285715,0.6376811594202898,0.03769516944885254,0.01728963851928711,0.015517234802246094,0.018909215927124023,0.014967679977416992
1,55,svm,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.8571428571428571,0.8714285714285714,0.8857142857142857,0.9,0.8695652173913043,0.12577605247497559,0.06253838539123535,0.04747128486633301,0.0665748119354248,0.05573248863220215
2,83,svm,0.9879518072289156,0.9759036144578314,0.9879518072289156,1.0,1.0,0.8,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.8695652173913043,0.22191333770751953,0.07861709594726562,0.23779702186584473,0.24507403373718262,0.2215127944946289
3,111,svm,0.990990990990991,0.963963963963964,0.990990990990991,0.990990990990991,0.990990990990991,0.9428571428571428,0.9,0.9285714285714286,0.9142857142857143,0.8985507246376812,0.36425161361694336,0.14550518989562988,0.3888993263244629,0.3580322265625,0.35597753524780273
4,139,svm,0.9928057553956835,0.9640287769784173,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.8714285714285714,0.9,0.9,0.9857142857142858,0.927536231884058,0.5208609104156494,0.21844768524169922,0.5404131412506104,0.5406744480133057,0.5164175033569336
5,167,svm,0.9940119760479041,0.9700598802395209,0.9640718562874252,0.9940119760479041,0.9940119760479041,0.9,0.8714285714285714,0.9,0.9285714285714286,0.927536231884058,0.7087669372558594,0.3560142517089844,0.21919918060302734,0.7464768886566162,0.7061600685119629
6,195,svm,0.9948717948717949,0.9743589743589743,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9142857142857143,0.9285714285714286,0.9285714285714286,0.9571428571428572,0.9130434782608695,0.9288725852966309,0.47214627265930176,0.9278931617736816,0.9378223419189453,0.9216823577880859
7,223,svm,0.9820627802690582,0.9775784753363229,0.9955156950672646,0.9955156950672646,0.9955156950672646,0.9142857142857143,0.9428571428571428,0.9285714285714286,0.9857142857142858,0.9420289855072463,0.4914224147796631,0.5911848545074463,1.1798076629638672,1.2097692489624023,1.1546351909637451
8,251,svm,0.9960159362549801,0.9721115537848606,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9142857142857143,0.9285714285714286,0.9571428571428572,0.9571428571428572,0.9565217391304348,1.514286756515503,0.7510077953338623,1.4620733261108398,1.4831836223602295,1.4450047016143799
9,279,svm,0.992831541218638,0.978494623655914,0.996415770609319,0.996415770609319,0.9713261648745519,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9855072463768116,1.9063963890075684,0.9120371341705322,1.8215477466583252,1.7600185871124268,0.6988272666931152
10,27,lr,1.0,1.0,1.0,1.0,1.0,0.8,0.8142857142857143,0.7142857142857143,0.8,0.782608695652174,0.026189088821411133,0.02877521514892578,0.02856755256652832,0.028890609741210938,0.028621435165405273
11,55,lr,0.9818181818181818,1.0,1.0,1.0,1.0,0.8571428571428571,0.8,0.8285714285714286,0.8571428571428571,0.7971014492753623,0.03347206115722656,0.027462244033813477,0.027642250061035156,0.027417421340942383,0.027820825576782227
12,83,lr,0.9879518072289156,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.8714285714285714,0.8714285714285714,0.8857142857142857,0.9142857142857143,0.7971014492753623,0.028505325317382812,0.029056310653686523,0.029293537139892578,0.029514312744140625,0.02907085418701172
13,111,lr,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.990990990990991,0.9,0.8857142857142857,0.9285714285714286,0.9285714285714286,0.855072463768116,0.030037879943847656,0.0299527645111084,0.030375957489013672,0.02999401092529297,0.030274629592895508
14,139,lr,0.9928057553956835,1.0,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.8714285714285714,0.9,0.9,0.9428571428571428,0.8985507246376812,0.03064441680908203,0.0313568115234375,0.03136253356933594,0.031685829162597656,0.03125953674316406
15,167,lr,0.9940119760479041,1.0,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.8428571428571429,0.9,0.9,0.9428571428571428,0.8840579710144928,0.03209543228149414,0.03251934051513672,0.0321805477142334,0.033030033111572266,0.03303122520446777
16,195,lr,0.9948717948717949,1.0,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9,0.9,0.9142857142857143,0.9285714285714286,0.927536231884058,0.03451943397521973,0.04079461097717285,0.035614013671875,0.033935546875,0.03443026542663574
17,223,lr,0.9955156950672646,1.0,0.9955156950672646,0.9955156950672646,0.9955156950672646,0.9285714285714286,0.9,0.9142857142857143,0.9714285714285714,0.927536231884058,0.035715579986572266,0.03525876998901367,0.035421133041381836,0.0351717472076416,0.035433292388916016
18,251,lr,0.9960159362549801,1.0,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9,0.9142857142857143,0.9428571428571428,0.9428571428571428,0.9130434782608695,0.037151336669921875,0.036644697189331055,0.036003828048706055,0.03631258010864258,0.0367436408996582
19,279,lr,0.996415770609319,1.0,0.996415770609319,0.996415770609319,0.996415770609319,0.9285714285714286,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9130434782608695,0.03819751739501953,0.039192914962768555,0.03869199752807617,0.03823733329772949,0.038680076599121094
20,27,dtc,1.0,1.0,1.0,1.0,1.0,0.7,0.6428571428571429,0.5714285714285714,0.6714285714285714,0.6521739130434783,0.3178989887237549,0.29590463638305664,0.29724931716918945,0.29844117164611816,0.29935526847839355
21,55,dtc,1.0,1.0,1.0,1.0,1.0,0.7714285714285715,0.7714285714285715,0.7285714285714285,0.6571428571428571,0.782608695652174,0.323331356048584,0.3142094612121582,0.3166811466217041,0.3165745735168457,0.31842565536499023
22,83,dtc,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.9142857142857143,0.9142857142857143,0.9,0.855072463768116,0.3448047637939453,0.3483591079711914,0.3454623222351074,0.3473949432373047,0.3439290523529053
23,111,dtc,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8142857142857143,0.9142857142857143,0.9285714285714286,0.8260869565217391,0.368607759475708,0.35762643814086914,0.37030482292175293,0.3692033290863037,0.3707549571990967
24,139,dtc,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8428571428571429,0.9,0.9428571428571428,0.8695652173913043,0.39227986335754395,0.38218259811401367,0.3946521282196045,0.39826440811157227,0.3943655490875244
25,167,dtc,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8428571428571429,0.9142857142857143,0.9142857142857143,0.8840579710144928,0.4084007740020752,0.40123987197875977,0.42138242721557617,0.4151191711425781,0.4184896945953369
26,195,dtc,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.9428571428571428,0.8857142857142857,0.9428571428571428,0.8695652173913043,0.4380671977996826,0.4282510280609131,0.4427478313446045,0.4418001174926758,0.42901015281677246
27,223,dtc,1.0,1.0,1.0,1.0,1.0,0.8714285714285714,0.9142857142857143,0.9,0.9714285714285714,0.927536231884058,0.4596085548400879,0.4470038414001465,0.4654505252838135,0.45540642738342285,0.4630913734436035
28,251,dtc,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9130434782608695,0.4753725528717041,0.46961307525634766,0.4748706817626953,0.4920632839202881,0.48329901695251465
29,279,dtc,1.0,1.0,1.0,1.0,1.0,0.9428571428571428,0.8857142857142857,0.9142857142857143,0.9428571428571428,0.8695652173913043,0.49520230293273926,0.4933054447174072,0.5037288665771484,0.5022127628326416,0.5076043605804443
