_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-2.7,TRR00494,M1,1,0,TRRUST,34,Regulated by: HMGA1,,-2.7,12,5.6,30169,20,374,3,0.8,0.46,672|999|7157,BRCA1|CDH1|TP53,-1.9,0
1,-2.7,TRR00869,M1,1,0,TRRUST,34,Regulated by: NFE2L2,,-2.7,12,5.4,30169,21,374,3,0.8,0.46,672|3576|6648,BRCA1|CXCL8|SOD2,-1.9,0
1,-2.7,TRR00877,M1,1,0,TRRUST,34,Regulated by: NFKBIA,,-2.7,12,5.4,30169,21,374,3,0.8,0.46,3576|4790|5970,CXCL8|NFKB1|RELA,-1.9,0
1,-2.5,TRR01174,M1,1,0,TRRUST,34,Regulated by: RUNX2,,-2.5,10,5,30169,24,374,3,0.8,0.46,367|2099|7422,AR|ESR1|VEGFA,-1.7,0
1,-2.4,TRR00471,M1,1,0,TRRUST,34,Regulated by: HDAC4,,-2.4,9.7,4.9,30169,25,374,3,0.8,0.46,1029|3725|7422,CDKN2A|JUN|VEGFA,-1.7,0
1,-2.3,TRR00365,M1,1,0,TRRUST,34,Regulated by: FOXO1,,-2.3,8.6,4.5,30169,28,374,3,0.8,0.46,367|1027|3569,AR|CDKN1B|IL6,-1.5,0
1,-2.3,TRR01513,M1,1,0,TRRUST,34,Regulated by: USF2,,-2.3,5.7,3.9,30169,57,374,4,1.1,0.53,672|675|7040|7156,BRCA1|BRCA2|TGFB1|TOP3A,-1.5,0
1,-2.2,TRR00109,M1,1,0,TRRUST,34,Regulated by: CEBPA,,-2.2,5.5,3.8,30169,59,374,4,1.1,0.53,596|3479|3569|6774,BCL2|IGF1|IL6|STAT3,-1.4,0
1,-2.2,TRR00757,M1,1,0,TRRUST,34,Regulated by: MITF,,-2.2,7.8,4.2,30169,31,374,3,0.8,0.46,1017|2353|7439,CDK2|FOS|BEST1,-1.4,0
1,-2.1,TRR00901,M1,1,0,TRRUST,34,Regulated by: NR1I2,,-2.1,7.3,4.1,30169,33,374,3,0.8,0.46,596|4790|5970,BCL2|NFKB1|RELA,-1.4,0
1,-2,TRR00025,M1,1,0,TRRUST,34,Regulated by: ATF4,,-2,6.9,3.9,30169,35,374,3,0.8,0.46,3569|3576|7422,IL6|CXCL8|VEGFA,-1.3,0
