_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8.1,TRR00198,M1,1,0,TRRUST,34,Regulated by: DNMT1,,-8.1,19,12,30169,34,374,8,2.1,0.75,841|999|1029|2099|4072|5925|7157|7422,CASP8|CDH1|CDKN2A|ESR1|EPCAM|RB1|TP53|VEGFA,-6.9,0
1,-7.9,TRR01150,M1,1,0,TRRUST,34,Regulated by: RB1,,-7.9,18,11,30169,36,374,8,2.1,0.75,672|999|2260|2353|2668|3479|5925|7422,BRCA1|CDH1|FGFR1|FOS|GDNF|IGF1|RB1|VEGFA,-6.7,0
1,-7.5,TRR00130,M1,1,0,TRRUST,34,Regulated by: CREBBP,,-7.5,21,12,30169,27,374,7,1.9,0.7,672|1956|2033|3659|5465|5888|7157,BRCA1|EGFR|EP300|IRF1|PPARA|RAD51|TP53,-6.3,0
1,-7.4,TRR01029,M1,1,0,TRRUST,34,Regulated by: PGR,,-7.4,20,11,30169,28,374,7,1.9,0.7,595|596|1956|2064|2099|5970|7422,CCND1|BCL2|EGFR|ERBB2|ESR1|RELA|VEGFA,-6.2,0
1,-7.3,TRR01400,M1,1,0,TRRUST,34,Regulated by: TFAP2A,,-7.3,10,9.2,30169,79,374,10,2.7,0.83,596|999|1956|2064|3169|3569|5728|6648|7054|7422,BCL2|CDH1|EGFR|ERBB2|FOXA1|IL6|PTEN|SOD2|TH|VEGFA,-6.1,0
1,-6.9,TRR00068,M1,1,0,TRRUST,34,Regulated by: BCL3,,-6.9,65,16,30169,5,374,4,1.1,0.53,1956|4790|5970|10664,EGFR|NFKB1|RELA|CTCF,-5.7,0
1,-6.9,TRR00339,M1,1,0,TRRUST,34,Regulated by: FHL2,,-6.9,65,16,30169,5,374,4,1.1,0.53,595|1027|4790|5970,CCND1|CDKN1B|NFKB1|RELA,-5.7,0
1,-6.9,TRR00756,M1,1,0,TRRUST,34,Regulated by: MEN1,,-6.9,37,13,30169,11,374,5,1.3,0.59,672|841|1027|2625|5888,BRCA1|CASP8|CDKN1B|GATA3|RAD51,-5.7,0
1,-6.8,TRR01538,M1,1,0,TRRUST,34,Regulated by: XBP1,,-6.8,23,11,30169,21,374,6,1.6,0.65,2099|3569|3576|6648|7422|7466,ESR1|IL6|CXCL8|SOD2|VEGFA|WFS1,-5.6,0
1,-6.6,TRR01546,M1,1,0,TRRUST,34,Regulated by: YBX1,,-6.6,16,9.9,30169,36,374,7,1.9,0.7,367|999|1956|2064|2065|5932|7153,AR|CDH1|EGFR|ERBB2|ERBB3|RBBP8|TOP2A,-5.4,0
1,-6.5,TRR00015,M1,1,0,TRRUST,34,Regulated by: ARNT,,-6.5,21,11,30169,23,374,6,1.6,0.65,672|1017|2099|2353|3725|7422,BRCA1|CDK2|ESR1|FOS|JUN|VEGFA,-5.4,0
1,-6.5,TRR00889,M1,1,0,TRRUST,34,Regulated by: NKX3-1,,-6.5,31,12,30169,13,374,5,1.3,0.59,367|595|2099|2353|7422,AR|CCND1|ESR1|FOS|VEGFA,-5.3,0
1,-6.5,TRR01254,M1,1,0,TRRUST,34,Regulated by: SOX6,,-6.5,54,14,30169,6,374,4,1.1,0.53,595|1019|1499|7157,CCND1|CDK4|CTNNB1|TP53,-5.3,0
1,-6.4,TRR00484,M1,1,0,TRRUST,34,Regulated by: HIF1A,,-6.4,8.1,8,30169,99,374,10,2.7,0.83,268|367|595|999|2068|5054|5290|5465|6774|7422,AMH|AR|CCND1|CDH1|ERCC2|SERPINE1|PIK3CA|PPARA|STAT3|VEGFA,-5.2,0
1,-6.4,TRR01548,M1,1,0,TRRUST,34,Regulated by: YY1,,-6.4,8.1,8,30169,99,374,10,2.7,0.83,672|1387|1956|2064|4763|6638|6834|7156|7157|10664,BRCA1|CREBBP|EGFR|ERBB2|NF1|SNRPN|SURF1|TOP3A|TP53|CTCF,-5.2,0
1,-6.3,TRR00138,M1,1,0,TRRUST,34,Regulated by: CTNNB1,,-6.3,19,10,30169,25,374,6,1.6,0.65,367|595|3725|5925|10468|10499,AR|CCND1|JUN|RB1|FST|NCOA2,-5.2,0
1,-6.2,TRR00769,M1,1,0,TRRUST,34,Regulated by: MTA1,,-6.2,19,10,30169,26,374,6,1.6,0.65,672|999|1029|1956|2099|5728,BRCA1|CDH1|CDKN2A|EGFR|ESR1|PTEN,-5.1,0
1,-6.2,TRR01255,M1,1,0,TRRUST,34,Regulated by: SOX9,,-6.2,19,10,30169,26,374,6,1.6,0.65,268|367|1019|1302|6663|7439,AMH|AR|CDK4|COL11A2|SOX10|BEST1,-5.1,0
1,-6.2,TRR01393,M1,1,0,TRRUST,34,Regulated by: TCF4,,-6.2,19,10,30169,26,374,6,1.6,0.65,595|596|3725|5728|7422|10468,CCND1|BCL2|JUN|PTEN|VEGFA|FST,-5.1,0
1,-6.2,TRR01438,M1,1,0,TRRUST,34,Regulated by: TWIST2,,-6.2,19,10,30169,26,374,6,1.6,0.65,472|999|1000|2065|2353|4763,ATM|CDH1|CDH2|ERBB3|FOS|NF1,-5.1,0
1,-6.2,TRR00125,M1,1,0,TRRUST,34,Regulated by: CREB1,,-6.2,7.8,7.7,30169,104,374,10,2.7,0.83,367|596|841|2064|2353|3169|3569|3725|4763|7054,AR|BCL2|CASP8|ERBB2|FOS|FOXA1|IL6|JUN|NF1|TH,-5,0
1,-6,TRR00470,M1,1,0,TRRUST,34,Regulated by: HDAC3,,-6,17,9.7,30169,28,374,6,1.6,0.65,240|999|1029|1956|3725|7422,ALOX5|CDH1|CDKN2A|EGFR|JUN|VEGFA,-4.9,0
1,-6,TRR00290,M1,1,0,TRRUST,34,Regulated by: EZH2,,-6,13,8.8,30169,44,374,7,1.9,0.7,595|672|999|1029|5728|7157|23396,CCND1|BRCA1|CDH1|CDKN2A|PTEN|TP53|PIP5K1C,-4.8,0
1,-6,TRR00601,M1,1,0,TRRUST,34,Regulated by: ING4,,-6,25,11,30169,16,374,5,1.3,0.59,595|596|1027|3576|7157,CCND1|BCL2|CDKN1B|CXCL8|TP53,-4.8,0
1,-5.8,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-5.8,12,8.5,30169,47,374,7,1.9,0.7,595|999|1027|3569|4695|7157|7422,CCND1|CDH1|CDKN1B|IL6|NDUFA2|TP53|VEGFA,-4.7,0
1,-5.7,TRR00474,M1,1,0,TRRUST,34,Regulated by: HDAC9,,-5.7,22,10,30169,18,374,5,1.3,0.59,1029|2099|4790|5970|7157,CDKN2A|ESR1|NFKB1|RELA|TP53,-4.6,0
