mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__C,param_base_estimator__gamma,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5844075679779053,0.022601540784871463,0.06618561744689941,0.002867580736632173,0.001,0.0001,0.0001,1,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.0001, 'n_estimators': 1}",0.4714285714285714,0.7571428571428571,0.8571428571428571,0.8142857142857143,0.4782608695652174,0.6756521739130436,0.16701464900577978,1488
5.9813519477844235,0.10564442857556455,0.3889765739440918,0.01602026007868322,0.001,0.0001,0.0001,10,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.0001, 'n_estimators': 10}",0.7428571428571429,0.6857142857142857,0.8714285714285714,0.7142857142857143,0.6521739130434783,0.7332919254658385,0.07533687828505045,1378
14.944836568832397,0.2561751502903647,0.9585616588592529,0.0418529898559607,0.001,0.0001,0.0001,25,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.0001, 'n_estimators': 25}",0.8142857142857143,0.6571428571428571,0.8857142857142857,0.7714285714285715,0.782608695652174,0.7822360248447204,0.07416221895873046,1299
29.88335871696472,0.3410214312529714,1.9471358776092529,0.06273357926859206,0.001,0.0001,0.0001,50,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.0001, 'n_estimators': 50}",0.8142857142857143,0.7142857142857143,0.8857142857142857,0.7142857142857143,0.7681159420289855,0.7793374741200828,0.06500275568495759,1308
59.54981913566589,0.45493927423378266,3.773733901977539,0.12378956254161734,0.001,0.0001,0.0001,100,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.0001, 'n_estimators': 100}",0.8,0.6571428571428571,0.8857142857142857,0.8428571428571429,0.7391304347826086,0.7849689440993789,0.08020882432377394,1292
0.6207019329071045,0.008159283688403792,0.06917047500610352,0.003706517409805842,0.001,0.0001,0.001,1,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.001, 'n_estimators': 1}",0.4714285714285714,0.8142857142857143,0.4857142857142857,0.8142857142857143,0.4782608695652174,0.6127950310559005,0.16457850601398782,1697
5.917705297470093,0.035336069396961475,0.38958010673522947,0.006043803613976877,0.001,0.0001,0.001,10,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.001, 'n_estimators': 10}",0.8142857142857143,0.7,0.8857142857142857,0.8428571428571429,0.8115942028985508,0.8108902691511387,0.06152916516900317,1162
14.701077890396117,0.147951453882199,0.9323762893676758,0.025610376656792475,0.001,0.0001,0.001,25,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.001, 'n_estimators': 25}",0.8,0.6714285714285714,0.8857142857142857,0.7142857142857143,0.782608695652174,0.7708074534161491,0.0738456815021509,1329
29.66491026878357,0.18912023953701784,1.9345773696899413,0.04536440299654757,0.001,0.0001,0.001,50,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.001, 'n_estimators': 50}",0.8142857142857143,0.6571428571428571,0.8857142857142857,0.7428571428571429,0.7971014492753623,0.7794202898550725,0.07630893662471715,1307
59.295798540115356,0.7060470647424697,3.7543219566345214,0.06633199586384626,0.001,0.0001,0.001,100,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.001, 'n_estimators': 100}",0.8142857142857143,0.7285714285714285,0.8857142857142857,0.8571428571428571,0.8405797101449275,0.8252587991718426,0.053619111414434525,1077
0.5966262817382812,0.012321631337177055,0.06566824913024902,0.0027826812748278696,0.001,0.0001,0.01,1,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.01, 'n_estimators': 1}",0.4714285714285714,0.6571428571428571,0.8142857142857143,0.4857142857142857,0.4782608695652174,0.5813664596273291,0.13554326390418586,1820
5.922827816009521,0.05880941488085415,0.3840975761413574,0.006195360163850792,0.001,0.0001,0.01,10,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.01, 'n_estimators': 10}",0.8285714285714286,0.8285714285714286,0.8428571428571429,0.8142857142857143,0.8115942028985508,0.8251759834368529,0.011302603404033782,1089
15.02594575881958,0.14167545205094254,0.9441437244415283,0.014501341974015487,0.001,0.0001,0.01,25,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.01, 'n_estimators': 25}",0.7857142857142857,0.8428571428571429,0.8857142857142857,0.8142857142857143,0.8985507246376812,0.8454244306418218,0.042396196918208284,911
29.51440191268921,0.3463257124987701,1.9088913440704345,0.042939317666137615,0.001,0.0001,0.01,50,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.01, 'n_estimators': 50}",0.7857142857142857,0.8428571428571429,0.8857142857142857,0.8428571428571429,0.8840579710144928,0.84824016563147,0.03648195276087448,864
59.300671863555905,1.0234802314904308,3.754274845123291,0.08787311083924024,0.001,0.0001,0.01,100,"{'base_estimator__C': 0.001, 'base_estimator__gamma': 0.0001, 'learning_rate': 0.01, 'n_estimators': 100}",0.8142857142857143,0.8571428571428571,0.8857142857142857,0.8428571428571429,0.8985507246376812,0.8597101449275362,0.030129054133062147,666
