mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__C,param_base_estimator__max_iter,param_base_estimator__penalty,param_base_estimator__solver,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0567589282989502,0.002892388642325307,0.016736268997192383,0.0012330734901894642,0.001,500,l2,newton-cg,0.0001,1,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.0001, 'n_estimators': 1}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
0.4485732078552246,0.032240432293770264,0.02695460319519043,0.0008195391706734237,0.001,500,l2,newton-cg,0.0001,10,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.0001, 'n_estimators': 10}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
2.2280631065368652,0.11449753553742771,0.0717437744140625,0.0010275714125594214,0.001,500,l2,newton-cg,0.0001,50,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.0001, 'n_estimators': 50}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
4.3322181224823,0.25098221952087213,0.1230010986328125,0.0033854051111576254,0.001,500,l2,newton-cg,0.0001,100,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.0001, 'n_estimators': 100}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
0.06357388496398926,0.002951948714778881,0.01738295555114746,0.0008035220092951107,0.001,500,l2,newton-cg,0.001,1,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.001, 'n_estimators': 1}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
0.4519345283508301,0.026447476871961167,0.027820587158203125,0.00032842873653804726,0.001,500,l2,newton-cg,0.001,10,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.001, 'n_estimators': 10}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
2.2964209079742433,0.046985670125356524,0.06955814361572266,0.003348186262627386,0.001,500,l2,newton-cg,0.001,50,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.001, 'n_estimators': 50}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
4.526420640945434,0.22466805656822728,0.12089743614196777,0.0044747743379049115,0.001,500,l2,newton-cg,0.001,100,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.001, 'n_estimators': 100}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
0.06093363761901856,0.0030267173895479334,0.017461872100830077,0.0009927630492493136,0.001,500,l2,newton-cg,0.01,1,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.01, 'n_estimators': 1}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
0.4677409648895264,0.02315964644328002,0.02610359191894531,0.0014692693266593793,0.001,500,l2,newton-cg,0.01,10,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.01, 'n_estimators': 10}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
2.2607162952423097,0.028168957526990675,0.07208766937255859,0.0038373068513807996,0.001,500,l2,newton-cg,0.01,50,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.01, 'n_estimators': 50}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
4.227881240844726,0.08842886656876343,0.11997246742248535,0.004509765523233748,0.001,500,l2,newton-cg,0.01,100,"{'base_estimator__C': 0.001, 'base_estimator__max_iter': 500, 'base_estimator__penalty': 'l2', 'base_estimator__solver': 'newton-cg', 'learning_rate': 0.01, 'n_estimators': 100}",0.5285714285714286,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5217391304347826,0.5186335403726707,0.005746600499985305,973
