,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
0,31,HARD,0.9032258064516129,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.6,0.7142857142857143,0.7428571428571429,0.6285714285714286,0.8,0.7428571428571429,0.8,0.7142857142857143,0.8285714285714286,0.7647058823529411,0.22925353050231934,0.020509958267211914,0.020008087158203125,0.019951820373535156,0.020199298858642578,0.020086288452148438,0.0205080509185791,0.02019023895263672,0.020047426223754883,0.020095109939575195
1,62,HARD,0.967741935483871,0.967741935483871,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.7142857142857143,0.8857142857142857,0.7714285714285715,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.8823529411764706,0.026648283004760742,0.02060222625732422,0.02309441566467285,0.0234677791595459,0.023208141326904297,0.023761510848999023,0.02477550506591797,0.023672103881835938,0.023921489715576172,0.02329087257385254
2,94,HARD,0.9680851063829787,0.9787234042553191,0.9574468085106383,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.8285714285714286,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9117647058823529,0.02185845375061035,0.022435665130615234,0.021759986877441406,0.022434711456298828,0.02107095718383789,0.02109837532043457,0.021171092987060547,0.021134614944458008,0.02156996726989746,0.029599666595458984
3,125,HARD,0.968,0.976,0.96,0.976,0.968,0.968,0.968,0.968,0.968,0.968,0.9142857142857143,0.9142857142857143,1.0,0.8,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.9142857142857143,0.9705882352941176,0.02359485626220703,0.023623943328857422,0.04211163520812988,0.02523040771484375,0.025417327880859375,0.026006698608398438,0.025414228439331055,0.025499820709228516,0.02571558952331543,0.04634594917297363
4,157,HARD,0.9681528662420382,0.9681528662420382,0.9617834394904459,0.9745222929936306,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9142857142857143,0.8571428571428571,0.9428571428571428,0.8285714285714286,0.8,0.8857142857142857,0.9714285714285714,0.8857142857142857,0.9142857142857143,0.8823529411764706,0.024596691131591797,0.028097152709960938,0.030223369598388672,0.028817176818847656,0.026019811630249023,0.026942968368530273,0.027280569076538086,0.027298688888549805,0.026885509490966797,0.02683234214782715
5,188,HARD,0.9680851063829787,0.973404255319149,0.9627659574468085,0.973404255319149,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9680851063829787,0.9428571428571428,0.8285714285714286,0.9428571428571428,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.9428571428571428,0.9428571428571428,0.8857142857142857,0.9411764705882353,0.024799346923828125,0.032998085021972656,0.029123544692993164,0.03545784950256348,0.03164839744567871,0.029754161834716797,0.030415058135986328,0.030575275421142578,0.03123021125793457,0.03513288497924805
6,219,HARD,0.9726027397260274,0.9771689497716894,0.9680365296803652,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9680365296803652,0.9680365296803652,0.9680365296803652,0.9680365296803652,0.9142857142857143,0.8285714285714286,0.9142857142857143,0.8571428571428571,0.8857142857142857,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.8857142857142857,0.9705882352941176,0.030491113662719727,0.02801823616027832,0.029874324798583984,0.02826714515686035,0.031442880630493164,0.03702569007873535,0.0312955379486084,0.027956485748291016,0.02490067481994629,0.028505563735961914
7,251,HARD,0.9721115537848606,0.9760956175298805,0.9681274900398407,0.9760956175298805,0.9721115537848606,0.9721115537848606,0.9681274900398407,0.9721115537848606,0.9721115537848606,0.9721115537848606,0.9428571428571428,0.8857142857142857,1.0,0.8857142857142857,0.8857142857142857,0.9428571428571428,1.0,0.9428571428571428,0.9142857142857143,0.9411764705882353,0.03066110610961914,0.027145862579345703,0.02611565589904785,0.026162147521972656,0.02819228172302246,0.02490997314453125,0.02618861198425293,0.025557994842529297,0.03133034706115723,0.031449317932128906
8,282,HARD,0.975177304964539,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.975177304964539,0.975177304964539,0.9787234042553191,0.9716312056737588,0.9716312056737588,0.9428571428571428,0.8571428571428571,1.0,0.8857142857142857,0.9142857142857143,1.0,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9411764705882353,0.02861166000366211,0.031760454177856445,0.028952360153198242,0.02950286865234375,0.02824997901916504,0.053131818771362305,0.029215335845947266,0.0399937629699707,0.029331207275390625,0.027914762496948242
9,314,HARD,0.9777070063694268,0.9808917197452229,0.9745222929936306,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9745222929936306,0.9808917197452229,0.9745222929936306,0.9745222929936306,0.9428571428571428,0.8857142857142857,1.0,0.8571428571428571,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9411764705882353,0.031232118606567383,0.0312802791595459,0.029584169387817383,0.028519392013549805,0.032471656799316406,0.030878543853759766,0.0320429801940918,0.0306243896484375,0.03129911422729492,0.029255151748657227
