,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5
0,27,svm,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.8428571428571429,0.7857142857142857,0.8714285714285714,0.7571428571428571,0.8405797101449275,0.07746124267578125,0.013888359069824219,0.015499114990234375,0.017702341079711914,0.0181577205657959
1,55,svm,0.9818181818181818,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.8714285714285714,0.8,0.8571428571428571,0.8,0.8405797101449275,0.019486665725708008,0.014930009841918945,0.016489505767822266,0.018747568130493164,0.019762754440307617
2,83,svm,0.9759036144578314,0.963855421686747,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8428571428571429,0.8571428571428571,0.8857142857142857,0.9,0.855072463768116,0.016089916229248047,0.017951250076293945,0.017808914184570312,0.020281553268432617,0.020861387252807617
3,111,svm,0.972972972972973,0.963963963963964,0.972972972972973,0.972972972972973,0.972972972972973,0.9142857142857143,0.8714285714285714,0.9,0.8857142857142857,0.8840579710144928,0.018830299377441406,0.02004408836364746,0.020315885543823242,0.02036118507385254,0.0205538272857666
4,139,svm,0.9712230215827338,0.9640287769784173,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.9,0.8857142857142857,0.9142857142857143,0.9571428571428572,0.9420289855072463,0.020546674728393555,0.022501707077026367,0.02283024787902832,0.0229489803314209,0.024075984954833984
5,167,svm,0.9760479041916168,0.9700598802395209,0.9820359281437125,0.9760479041916168,0.9760479041916168,0.8714285714285714,0.8285714285714286,0.9142857142857143,0.9428571428571428,0.8985507246376812,0.024126529693603516,0.024964570999145508,0.02661871910095215,0.026741743087768555,0.02633500099182129
6,195,svm,0.9794871794871794,0.9743589743589743,0.9846153846153847,0.9743589743589743,0.9743589743589743,0.8714285714285714,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9130434782608695,0.027085542678833008,0.028682470321655273,0.02951669692993164,0.0298612117767334,0.03024125099182129
7,223,svm,0.9865470852017937,0.9775784753363229,0.9865470852017937,1.0,1.0,0.9,0.9285714285714286,0.9428571428571428,0.9857142857142858,0.927536231884058,0.030544757843017578,0.03268098831176758,0.03548908233642578,0.03433394432067871,0.03084731101989746
8,251,svm,0.9880478087649402,0.9800796812749004,0.9840637450199203,1.0,0.9920318725099602,0.9,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9565217391304348,0.03541994094848633,0.03833961486816406,0.042760610580444336,0.03991270065307617,0.03976869583129883
9,279,svm,0.989247311827957,0.982078853046595,0.985663082437276,0.989247311827957,0.982078853046595,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9855072463768116,0.04003787040710449,0.04335141181945801,0.052428483963012695,0.04637622833251953,0.039458274841308594
10,27,lr,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.8,0.7857142857142857,0.8,0.8,0.8115942028985508,0.06852459907531738,0.03397631645202637,0.03412437438964844,0.03174591064453125,0.032987356185913086
11,55,lr,0.9818181818181818,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.8428571428571429,0.7285714285714285,0.8285714285714286,0.8285714285714286,0.8115942028985508,0.031557559967041016,0.06544160842895508,0.03156304359436035,0.03110194206237793,0.04603171348571777
12,83,lr,0.9759036144578314,0.963855421686747,0.963855421686747,0.963855421686747,0.963855421686747,0.8857142857142857,0.8857142857142857,0.9,0.9,0.8695652173913043,0.0315091609954834,0.08422088623046875,0.035555124282836914,0.0347142219543457,0.07878541946411133
13,111,lr,0.972972972972973,0.963963963963964,0.972972972972973,0.972972972972973,0.972972972972973,0.8714285714285714,0.8714285714285714,0.8571428571428571,0.9428571428571428,0.9130434782608695,0.032386064529418945,0.08017396926879883,0.03879117965698242,0.03569436073303223,0.09274983406066895
14,139,lr,0.9712230215827338,0.9640287769784173,0.9640287769784173,0.9640287769784173,0.9640287769784173,0.8571428571428571,0.8714285714285714,0.8714285714285714,0.9428571428571428,0.9130434782608695,0.04127860069274902,0.07742881774902344,0.042543888092041016,0.036859989166259766,0.08440542221069336
15,167,lr,0.9760479041916168,0.9700598802395209,0.9760479041916168,0.9760479041916168,0.9760479041916168,0.8428571428571429,0.8714285714285714,0.9,0.9285714285714286,0.9420289855072463,0.03690671920776367,0.09188151359558105,0.03766345977783203,0.04263114929199219,0.11038661003112793
16,195,lr,0.9794871794871794,0.9743589743589743,0.9794871794871794,0.9743589743589743,0.9743589743589743,0.8571428571428571,0.9,0.9285714285714286,0.9571428571428572,0.9130434782608695,0.03823661804199219,0.0950918197631836,0.0393519401550293,0.04541778564453125,0.08342170715332031
17,223,lr,0.9820627802690582,0.9820627802690582,0.9820627802690582,0.9775784753363229,0.9775784753363229,0.8857142857142857,0.9142857142857143,0.9285714285714286,0.9714285714285714,0.927536231884058,0.04288506507873535,0.09020876884460449,0.04364824295043945,0.05903458595275879,0.10870552062988281
18,251,lr,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9800796812749004,0.8857142857142857,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9130434782608695,0.04491686820983887,0.046509742736816406,0.05626416206359863,0.05212879180908203,0.07978296279907227
19,279,lr,0.982078853046595,0.982078853046595,0.985663082437276,0.982078853046595,0.978494623655914,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9420289855072463,0.0922689437866211,0.050421714782714844,0.05227923393249512,0.05033111572265625,0.1336507797241211
20,27,mlp,1.0,1.0,1.0,1.0,1.0,0.7714285714285715,0.8428571428571429,0.7857142857142857,0.8428571428571429,0.7391304347826086,0.6798181533813477,0.618720293045044,1.1729083061218262,0.5500059127807617,0.5759255886077881
21,55,mlp,0.9818181818181818,1.0,1.0,1.0,1.0,0.8571428571428571,0.8857142857142857,0.8714285714285714,0.9285714285714286,0.8695652173913043,1.143916130065918,1.3495333194732666,1.2447044849395752,0.7338588237762451,0.747445821762085
22,83,mlp,0.9879518072289156,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.8857142857142857,0.9428571428571428,0.9142857142857143,0.9428571428571428,0.8840579710144928,0.7327065467834473,1.1645183563232422,0.9088699817657471,0.7560675144195557,0.7543902397155762
23,111,mlp,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.990990990990991,0.8714285714285714,0.9142857142857143,0.9285714285714286,0.9428571428571428,0.8840579710144928,0.7229173183441162,1.3806591033935547,0.8415689468383789,0.8230412006378174,0.8217101097106934
24,139,mlp,0.9928057553956835,1.0,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.8857142857142857,0.9,0.9142857142857143,0.9857142857142858,0.9420289855072463,0.82342529296875,1.322108507156372,1.5322933197021484,1.0956411361694336,0.927696704864502
25,167,mlp,0.9940119760479041,1.0,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.9,0.9142857142857143,0.9285714285714286,0.9571428571428572,0.9130434782608695,0.8438377380371094,1.0390594005584717,0.9375932216644287,0.9216341972351074,0.9207842350006104
26,195,mlp,0.9948717948717949,1.0,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9,0.9285714285714286,0.9142857142857143,0.9428571428571428,0.927536231884058,0.9514176845550537,1.536475419998169,1.0125172138214111,1.0032625198364258,1.0089879035949707
