,train_size,models,train_scores_fold1,train_scores_fold2,train_scores_fold3,train_scores_fold4,train_scores_fold5,train_scores_fold6,train_scores_fold7,train_scores_fold8,train_scores_fold9,train_scores_fold10,test_scores_fold1,test_scores_fold2,test_scores_fold3,test_scores_fold4,test_scores_fold5,test_scores_fold6,test_scores_fold7,test_scores_fold8,test_scores_fold9,test_scores_fold10,fit_times_fold1,fit_times_fold2,fit_times_fold3,fit_times_fold4,fit_times_fold5,fit_times_fold6,fit_times_fold7,fit_times_fold8,fit_times_fold9,fit_times_fold10
0,31,SVM,0.9032258064516129,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.8,0.8571428571428571,0.8857142857142857,0.6857142857142857,0.8857142857142857,0.8857142857142857,0.8285714285714286,0.8285714285714286,0.8857142857142857,0.8823529411764706,0.7296841144561768,0.1557774543762207,0.13112473487854004,0.15879321098327637,0.1647043228149414,0.19529962539672852,0.16091251373291016,0.10679841041564941,0.14019775390625,0.13490796089172363
1,62,SVM,0.9838709677419355,0.9838709677419355,0.9516129032258065,1.0,0.967741935483871,0.9838709677419355,1.0,1.0,0.9516129032258065,0.9516129032258065,0.9142857142857143,0.8571428571428571,0.9142857142857143,0.8857142857142857,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.9142857142857143,0.9142857142857143,0.7647058823529411,13.348134279251099,1.3119301795959473,0.2868943214416504,1.0017876625061035,0.513735294342041,0.6911275386810303,0.8605232238769531,0.6753039360046387,0.19084882736206055,0.20791363716125488
2,94,SVM,0.9787234042553191,0.9893617021276596,0.9574468085106383,0.9787234042553191,0.9893617021276596,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.8857142857142857,0.9142857142857143,0.8857142857142857,0.8285714285714286,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.9117647058823529,1.0998494625091553,2.7328875064849854,0.30841898918151855,2.5141031742095947,2.5424084663391113,2.490912914276123,2.485097885131836,2.4866316318511963,2.571320056915283,2.4793100357055664
3,125,SVM,0.992,0.992,1.0,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.7941176470588235,2.8429627418518066,1.710275411605835,0.7844853401184082,3.427593231201172,0.942894697189331,2.6728744506835938,1.6481342315673828,1.684410810470581,1.2111330032348633,3.1086175441741943
4,157,SVM,0.9936305732484076,0.9936305732484076,0.9490445859872612,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9142857142857143,1.0,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9411764705882353,2.4532077312469482,6.815218687057495,0.43303489685058594,4.585726499557495,1.5801079273223877,2.4939467906951904,6.115382194519043,2.753464937210083,5.981657028198242,6.217121839523315
5,188,SVM,0.9946808510638298,0.9946808510638298,0.9787234042553191,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.8857142857142857,0.8857142857142857,0.9428571428571428,0.8857142857142857,0.8571428571428571,0.9142857142857143,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.9117647058823529,2.251727342605591,5.328198194503784,0.8410446643829346,5.332991123199463,1.5292646884918213,4.674509763717651,8.294160604476929,3.561211585998535,3.2665767669677734,2.484767198562622
6,219,SVM,0.9954337899543378,0.9954337899543378,0.9771689497716894,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.9954337899543378,0.8857142857142857,0.8571428571428571,0.9142857142857143,0.8857142857142857,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.8857142857142857,0.9142857142857143,0.8823529411764706,7.765005350112915,3.8867692947387695,1.358656644821167,3.561249017715454,4.363748550415039,3.4080803394317627,4.896021604537964,10.52056622505188,2.9194302558898926,3.158993721008301
7,251,SVM,0.9960159362549801,0.9960159362549801,0.9482071713147411,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9428571428571428,0.9428571428571428,1.0,0.9428571428571428,0.9428571428571428,0.9117647058823529,24.864070892333984,14.543413639068604,1.3293514251708984,14.159422159194946,14.463769435882568,14.255999565124512,14.577784299850464,14.459485292434692,5.512178659439087,3.3080027103424072
8,282,SVM,0.9964539007092199,0.9964539007092199,0.9609929078014184,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9964539007092199,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9428571428571428,1.0,0.9142857142857143,0.9428571428571428,0.9411764705882353,3.6258318424224854,15.50564432144165,1.219468116760254,15.625913858413696,3.247412919998169,3.623356342315674,17.82907509803772,18.269149780273438,18.187450170516968,17.954297304153442
9,314,SVM,0.9968152866242038,0.9968152866242038,0.964968152866242,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9968152866242038,0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9714285714285714,1.0,0.9428571428571428,0.9428571428571428,0.9117647058823529,24.172690868377686,22.188214540481567,1.501143455505371,21.510022401809692,22.91513729095459,21.956958532333374,21.581342697143555,21.93436551094055,5.385297775268555,22.078455209732056
10,31,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6571428571428571,0.7428571428571429,0.8571428571428571,0.8285714285714286,0.8,0.7142857142857143,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8235294117647058,0.10287809371948242,0.026943683624267578,0.027347564697265625,0.026569366455078125,0.0265805721282959,0.02730393409729004,0.02675032615661621,0.026557445526123047,0.02787017822265625,0.02655482292175293
11,62,LR,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.8285714285714286,0.8,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8,0.9142857142857143,0.8571428571428571,0.7647058823529411,0.03804826736450195,0.028280973434448242,0.02801346778869629,0.030059814453125,0.02944493293762207,0.028081417083740234,0.028122663497924805,0.03066086769104004,0.03022933006286621,0.02798628807067871
