Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
11285,3.0,1,1,1
92002,3.0,1,1,1
5828,3.0,1,1,1
3659,3.0,1,1,1
3146,3.0,1,1,1
10166,3.0,1,1,1
23451,3.0,1,1,1
2534,3.0,1,1,1
2812,3.0,1,1,1
1432,3.0,1,1,1
54894,3.0,1,1,1
23529,3.0,1,1,1
207,3.0,1,1,1
675,3.0,1,1,1
5879,3.0,1,1,1
3479,3.0,1,1,1
3075,3.0,1,1,1
1145,3.0,1,1,1
84153,3.0,1,1,1
11200,3.0,1,1,1
11005,3.0,1,1,1
672,3.0,1,1,1
7809,3.0,1,1,1
1387,3.0,1,1,1
3725,3.0,1,1,1
9409,3.0,1,1,1
5465,3.0,1,1,1
2249,3.0,1,1,1
3766,3.0,1,1,1
200894,3.0,1,1,1
3667,3.0,1,1,1
26504,3.0,1,1,1
6714,3.0,1,1,1
2815,3.0,1,1,1
540,3.0,1,1,1
4281,3.0,1,1,1
79803,3.0,1,1,1
23400,3.0,1,1,1
493856,3.0,1,1,1
80781,3.0,1,1,1
5447,3.0,1,1,1
23322,3.0,1,1,1
5932,3.0,1,1,1
3251,3.0,1,1,1
4728,3.0,1,1,1
998,3.0,1,1,1
7439,3.0,1,1,1
5913,3.0,1,1,1
2248,3.0,1,1,1
4179,3.0,1,1,1
5880,3.0,1,1,1
2746,3.0,1,1,1
472,3.0,1,1,1
89781,3.0,1,1,1
23111,3.0,1,1,1
54345,3.0,1,1,1
5728,3.0,1,1,1
7422,3.0,1,1,1
91662,3.0,1,1,1
224,3.0,1,1,1
1108,3.0,1,1,1
124590,3.0,1,1,1
4358,3.0,1,1,1
6949,3.0,1,1,1
1302,3.0,1,1,1
5172,3.0,1,1,1
6567,3.0,1,1,1
2706,3.0,1,1,1
10499,3.0,1,1,1
1663,3.0,1,1,1
1161,3.0,1,1,1
3784,3.0,1,1,1
1499,3.0,1,1,1
2067,3.0,1,1,1
6125,3.0,1,1,1
79728,3.0,1,1,1
9992,3.0,1,1,1
30,3.0,1,1,1
7157,3.0,1,1,1
51082,3.0,1,1,1
2245,3.0,1,1,1
7259,3.0,1,1,1
10743,3.0,1,1,1
6605,3.0,1,1,1
2290,3.0,1,1,1
84282,3.0,1,1,1
6330,3.0,1,1,1
5469,3.0,1,1,1
10535,3.0,1,1,1
1908,3.0,1,1,1
2064,3.0,1,1,1
5426,3.0,1,1,1
1075,3.0,1,1,1
2263,3.0,1,1,1
701,3.0,1,1,1
6774,3.0,1,1,1
10413,3.0,1,1,1
2625,3.0,1,1,1
8503,3.0,1,1,1
26128,3.0,1,1,1
641,3.0,1,1,1
268,3.0,1,1,1
4771,3.0,1,1,1
10083,3.0,1,1,1
5189,3.0,1,1,1
2138,3.0,1,1,1
1019,3.0,1,1,1
1027,3.0,1,1,1
5395,3.0,1,1,1
157570,3.0,1,1,1
3630,3.0,1,1,1
5352,3.0,1,1,1
5993,3.0,1,1,1
4214,3.0,1,1,1
240,3.0,1,1,1
4072,3.0,1,1,1
15,3.0,1,1,1
5054,3.0,1,1,1
9531,3.0,1,1,1
5308,3.0,1,1,1
25782,3.0,1,1,1
6535,3.0,1,1,1
